,tconst,averagerating,numvotes,movie,start_year,runtime_minutes,genres,id,release_date,production_budget,domestic_gross,worldwide_gross,net_pre_marketing,domestic/world,earnings/cost_ratio,year_released,Profitable?
194,tt1636826,6.7,177782.0,Project X,2012,88.0,Comedy,58.0,"Mar 2, 2012",12000000.0,54731865.0,103028188.0,91028188.0,0.5312319479014811,7.585682333333334,2012.0,True
195,tt1637706,6.4,80738.0,Our Idiot Brother,2011,90.0,"Comedy,Drama",78.0,"Aug 26, 2011",5000000.0,24814830.0,25861249.0,20861249.0,0.9595371824462152,4.1722498,2011.0,True
199,tt1640711,5.7,12069.0,A Few Best Men,2011,97.0,"Comedy,Romance",55.0,"May 5, 2015",15000000.0,0.0,17224539.0,2224539.0,0.0,0.1483026,2015.0,False
200,tt1645080,6.6,53682.0,The Art of Getting By,2011,83.0,"Drama,Romance",20.0,"Jun 17, 2011",4000000.0,1430241.0,1989035.0,-2010965.0,0.7190627615904195,-0.50274125,2011.0,False
202,tt1645170,6.4,250976.0,The Dictator,2012,83.0,Comedy,96.0,"May 16, 2012",65000000.0,59650222.0,180148897.0,115148897.0,0.33111622104463956,1.7715214923076923,2012.0,False
206,tt1655442,7.9,217184.0,The Artist,2011,100.0,"Comedy,Drama,Romance",34.0,"Nov 25, 2011",16000000.0,44667095.0,128256712.0,112256712.0,0.3482632160412782,7.0160445,2011.0,True
207,tt1655460,5.6,69081.0,Wanderlust,2012,98.0,"Comedy,Romance",88.0,"Feb 24, 2012",32500000.0,17288155.0,24159934.0,-8340066.0,0.715571284259303,-0.2566174153846154,2012.0,False
209,tt1659337,8.0,422671.0,The Perks of Being a Wallflower,2012,103.0,Drama,77.0,"Sep 21, 2012",13000000.0,17742948.0,33069303.0,20069303.0,0.5365383116783562,1.5437925384615385,2012.0,False
211,tt1666186,3.4,43984.0,Vampires Suck,2010,82.0,Comedy,49.0,"Aug 18, 2010",20000000.0,36661504.0,81424988.0,61424988.0,0.45024881059853517,3.0712494,2010.0,True
213,tt1674771,6.6,71519.0,Entourage,2015,104.0,Comedy,30.0,"Jun 3, 2015",30000000.0,32363404.0,46438538.0,16438538.0,0.6969083307489138,0.5479512666666667,2015.0,False
215,tt1687901,6.5,60215.0,The Awakening,2011,102.0,"Horror,Thriller",4.0,"Aug 17, 2012",4900000.0,95933.0,6924321.0,2024321.0,0.013854499235376292,0.41312673469387756,2012.0,False
216,tt1692486,7.2,111372.0,Carnage,2011,80.0,"Comedy,Drama",7.0,"Dec 16, 2011",25000000.0,2546747.0,38112154.0,13112154.0,0.06682243674813027,0.52448616,2011.0,False
217,tt1694020,5.8,33702.0,The Guilt Trip,2012,95.0,"Comedy,Drama",59.0,"Dec 19, 2012",40000000.0,37134215.0,41294674.0,1294674.0,0.8992495012795112,0.03236685,2012.0,False
222,tt1703199,6.1,48125.0,Grave Encounters,2011,92.0,Horror,76.0,"Sep 9, 2011",2000000.0,0.0,2151887.0,151887.0,0.0,0.0759435,2011.0,False
